IDP	trait	gc_mean	gc_std	Z	P
C256_17	ADHD	-0.1278	0.0442	-2.8922	0.0038
C256_172	ADHD	-0.2257	0.0735	-3.073	0.0021
C256_176	ADHD	0.2036	0.0728	2.7974	0.0052
C512_176	ADHD	0.2048	0.0745	2.7474	0.006
C512_193	ADHD	-0.2727	0.0744	-3.6653	0.0002
C512_242	ADHD	-0.2076	0.068	-3.0542	0.0023
C512_305	ADHD	0.1207	0.0425	2.8394	0.0045
C512_316	ADHD	0.1318	0.0469	2.8072	0.005
C512_417	ADHD	-0.1267	0.0463	-2.7357	0.0062
C512_418	ADHD	0.1634	0.0583	2.8001	0.0051
C512_441	ADHD	0.1375	0.051	2.6989	0.007
C1024_193	ADHD	-0.2652	0.0714	-3.7137	0.0002
C1024_241	ADHD	0.2037	0.0562	3.6224	0.0003
C1024_242	ADHD	-0.2009	0.0733	-2.7422	0.0061
C1024_316	ADHD	0.1358	0.043	3.1579	0.0016
C1024_591	ADHD	0.173	0.0643	2.6905	0.0071
C1024_668	ADHD	0.1249	0.0448	2.7852	0.0053
C1024_678	ADHD	-0.1495	0.0456	-3.2771	0.001
C1024_777	ADHD	0.1193	0.0438	2.7227	0.0065
C1024_845	ADHD	0.1384	0.0424	3.2642	0.0011
C1024_874	ADHD	0.1597	0.0564	2.8307	0.0046
C1024_909	ADHD	-0.2043	0.0758	-2.6967	0.007
C32_22	ATM	0.1549	0.0572	2.7084	0.0068
C64_3	ATM	0.1529	0.0563	2.7149	0.0066
C64_11	ATM	0.1524	0.0504	3.0227	0.0025
C128_3	ATM	0.1661	0.0544	3.0537	0.0023
C128_91	ATM	0.1519	0.0562	2.7037	0.0069
C128_101	ATM	0.3168	0.0976	3.2451	0.0012
C256_3	ATM	0.1854	0.0594	3.1226	0.0018
C256_17	ATM	-0.1613	0.0515	-3.1299	0.0017
C256_59	ATM	-0.2541	0.0852	-2.9816	0.0029
C256_151	ATM	0.3441	0.1068	3.2213	0.0013
C256_190	ATM	0.2557	0.0925	2.7648	0.0057
C256_196	ATM	0.1618	0.0555	2.9129	0.0036
C256_202	ATM	0.2024	0.0741	2.7297	0.0063
C512_8	ATM	-0.1659	0.0494	-3.3614	0.0008
C512_151	ATM	0.32	0.1009	3.1713	0.0015
C512_205	ATM	0.1935	0.0629	3.0764	0.0021
C512_208	ATM	0.1732	0.0641	2.7003	0.0069
C512_279	ATM	-0.2439	0.0891	-2.7355	0.0062
C512_315	ATM	0.2044	0.0702	2.9133	0.0036
C512_346	ATM	0.1804	0.0638	2.8281	0.0047
C512_377	ATM	0.2724	0.1	2.7239	0.0065
C512_424	ATM	0.183	0.0616	2.9719	0.003
C512_450	ATM	0.2804	0.0923	3.0373	0.0024
C1024_178	ATM	-0.2936	0.1082	-2.7123	0.0067
C1024_201	ATM	0.1886	0.0697	2.7049	0.0068
C1024_205	ATM	0.1932	0.0718	2.6903	0.0071
C1024_248	ATM	0.3786	0.1309	2.8916	0.0038
C1024_300	ATM	0.2273	0.0809	2.8088	0.005
C1024_340	ATM	0.1939	0.0692	2.8006	0.0051
C1024_349	ATM	0.2864	0.0954	3.0023	0.0027
C1024_424	ATM	0.202	0.0608	3.3232	0.0009
C1024_434	ATM	0.1766	0.0607	2.9093	0.0036
C1024_450	ATM	0.2904	0.0938	3.0962	0.002
C1024_523	ATM	-0.1787	0.0522	-3.4272	0.0006
C1024_527	ATM	0.1868	0.066	2.8327	0.0046
C1024_555	ATM	0.2261	0.0673	3.3605	0.0008
C1024_564	ATM	0.2187	0.0661	3.3094	0.0009
C1024_591	ATM	0.1766	0.0655	2.6959	0.007
C1024_604	ATM	0.2109	0.0682	3.0906	0.002
C1024_618	ATM	-0.151	0.0515	-2.9323	0.0034
C1024_698	ATM	0.1843	0.0653	2.8204	0.0048
C1024_716	ATM	0.1728	0.0619	2.7901	0.0053
C1024_774	ATM	0.1749	0.0601	2.9085	0.0036
C1024_793	ATM	0.2478	0.0906	2.7347	0.0062
C1024_999	ATM	0.2071	0.0765	2.7073	0.0068
C128_11	BIP	0.2131	0.0743	2.8669	0.0041
C256_191	BIP	-0.1165	0.0402	-2.8985	0.0037
C512_1	BIP	-0.0968	0.0356	-2.7216	0.0065
C512_291	BIP	-0.1158	0.0395	-2.9302	0.0034
C512_319	BIP	-0.1161	0.0406	-2.8598	0.0042
C512_361	BIP	-0.1047	0.035	-2.9864	0.0028
C512_368	BIP	-0.1265	0.0383	-3.3047	0.001
C512_512	BIP	-0.1122	0.0415	-2.7017	0.0069
C1024_1	BIP	-0.1104	0.0385	-2.8696	0.0041
C1024_114	BIP	-0.1056	0.036	-2.9368	0.0033
C1024_191	BIP	-0.1082	0.039	-2.7749	0.0055
C1024_315	BIP	-0.1149	0.0412	-2.788	0.0053
C1024_319	BIP	-0.1273	0.0418	-3.0447	0.0023
C1024_326	BIP	-0.1124	0.04	-2.8056	0.005
C1024_335	BIP	-0.1194	0.0389	-3.0679	0.0022
C1024_694	BIP	-0.1154	0.0411	-2.8113	0.0049
C1024_715	BIP	-0.1261	0.0405	-3.1174	0.0018
C1024_737	BIP	-0.1235	0.0379	-3.2583	0.0011
C1024_740	BIP	-0.1198	0.0409	-2.9321	0.0034
C1024_747	BIP	-0.1175	0.0434	-2.7082	0.0068
C1024_766	BIP	-0.1152	0.0381	-3.0278	0.0025
C1024_801	BIP	-0.0973	0.0346	-2.8151	0.0049
C1024_813	BIP	-0.1126	0.0405	-2.783	0.0054
C1024_817	BIP	-0.131	0.0383	-3.4244	0.0006
C1024_818	BIP	-0.1393	0.0396	-3.5175	0.0004
C1024_833	BIP	-0.1292	0.0395	-3.2756	0.0011
C1024_840	BIP	-0.1253	0.0416	-3.0159	0.0026
C1024_844	BIP	-0.1221	0.038	-3.2118	0.0013
C1024_853	BIP	-0.1022	0.0376	-2.7185	0.0066
C1024_911	BIP	-0.1211	0.0396	-3.0601	0.0022
C1024_969	BIP	-0.1079	0.0384	-2.8058	0.005
C1024_981	BIP	-0.1035	0.0375	-2.7609	0.0058
C1024_1008	BIP	-0.1087	0.0372	-2.9175	0.0035
C1024_1012	BIP	-0.1061	0.0377	-2.8099	0.005
C64_3	Intel	0.141	0.0412	3.4178	0.0006
C128_3	Intel	0.1534	0.0435	3.522	0.0004
C128_11	Intel	0.1919	0.0687	2.7924	0.0052
C128_49	Intel	0.2226	0.0827	2.6902	0.0071
C128_128	Intel	0.1616	0.0464	3.4832	0.0005
C256_3	Intel	0.187	0.0436	4.2885	1.7987e-05
C256_11	Intel	0.2755	0.0932	2.9549	0.0031
C256_53	Intel	0.1835	0.0574	3.1939	0.0014
C256_210	Intel	0.2617	0.092	2.8457	0.0044
C256_248	Intel	0.1855	0.0533	3.4829	0.0005
C512_3	Intel	0.1863	0.0568	3.2796	0.001
C512_11	Intel	0.2939	0.1018	2.8861	0.0039
C512_53	Intel	0.2255	0.0722	3.1215	0.0018
C512_205	Intel	0.1543	0.0486	3.1775	0.0015
C512_242	Intel	0.2292	0.0617	3.7114	0.0002
C512_248	Intel	0.2379	0.087	2.7356	0.0062
C512_257	Intel	0.2145	0.0473	4.5382	5.6741e-06
C512_286	Intel	0.1832	0.0551	3.3274	0.0009
C512_297	Intel	0.2836	0.0947	2.9943	0.0028
C512_302	Intel	0.1553	0.0555	2.7967	0.0052
C512_424	Intel	0.1556	0.0518	3.0021	0.0027
C512_453	Intel	0.1877	0.0429	4.3782	1.1965e-05
C512_483	Intel	-0.1817	0.0651	-2.7928	0.0052
C1024_11	Intel	0.2918	0.1037	2.8144	0.0049
C1024_53	Intel	0.2422	0.0797	3.0395	0.0024
C1024_242	Intel	0.2018	0.0691	2.919	0.0035
C1024_286	Intel	0.2033	0.0561	3.6245	0.0003
C1024_302	Intel	0.177	0.0617	2.8686	0.0041
C1024_336	Intel	0.2266	0.0683	3.3195	0.0009
C1024_412	Intel	0.2026	0.0665	3.0472	0.0023
C1024_421	Intel	0.214	0.0454	4.7085	2.496e-06
C1024_424	Intel	0.1721	0.0501	3.436	0.0006
C1024_434	Intel	0.1541	0.0508	3.0327	0.0024
C1024_483	Intel	-0.1985	0.0635	-3.1252	0.0018
C1024_527	Intel	0.2029	0.0489	4.148	3.354e-05
C1024_635	Intel	0.1406	0.0493	2.8532	0.0043
C1024_698	Intel	0.1406	0.0474	2.9653	0.003
C1024_774	Intel	0.1376	0.0502	2.7395	0.0062
C1024_793	Intel	0.188	0.0685	2.7451	0.006
C1024_830	Intel	0.1528	0.056	2.7287	0.0064
C1024_859	Intel	0.2406	0.0496	4.8548	1.2049e-06
C1024_862	Intel	0.196	0.0522	3.758	0.0002
C1024_869	Intel	0.1484	0.0427	3.4787	0.0005
C1024_898	Intel	0.1683	0.0532	3.1634	0.0016
C1024_901	Intel	0.1572	0.0558	2.8168	0.0048
C1024_939	Intel	0.1963	0.0519	3.7824	0.0002
C1024_986	Intel	0.2163	0.0452	4.7897	1.6704e-06
C32_18	MDD	0.3219	0.0972	3.3119	0.0009
C128_53	MDD	0.3831	0.118	3.2471	0.0012
C256_40	MDD	0.374	0.1212	3.0868	0.002
C1024_40	MDD	0.4372	0.1392	3.1417	0.0017
C1024_63	MDD	-0.3871	0.1316	-2.9419	0.0033
C1024_176	MDD	0.349	0.1284	2.7182	0.0066
C1024_616	MDD	0.2167	0.0791	2.7399	0.0061
C1024_652	MDD	-0.247	0.0773	-3.196	0.0014
C1024_698	MDD	0.2482	0.081	3.0658	0.0022
C128_88	OCD	0.4672	0.1344	3.4752	0.0005
C256_88	OCD	0.4128	0.1213	3.4037	0.0007
C512_88	OCD	0.565	0.1573	3.5927	0.0003
C1024_88	OCD	0.505	0.142	3.5574	0.0004
C1024_112	OCD	0.3365	0.1239	2.717	0.0066
C64_35	SCZ	-0.2421	0.0822	-2.9448	0.0032
C128_28	SCZ	0.1411	0.052	2.7123	0.0067
C128_31	SCZ	-0.2612	0.0885	-2.9513	0.0032
C256_8	SCZ	-0.1173	0.0397	-2.9532	0.0031
C512_145	SCZ	0.2088	0.0769	2.7148	0.0066
C512_173	SCZ	-0.2141	0.0685	-3.1239	0.0018
C512_287	SCZ	-0.116	0.0402	-2.8851	0.0039
C512_385	SCZ	-0.1099	0.0397	-2.7709	0.0056
C1024_173	SCZ	-0.2392	0.0755	-3.1685	0.0015
C1024_379	SCZ	0.1742	0.0641	2.7188	0.0066
C1024_381	SCZ	-0.1082	0.0394	-2.748	0.006
C1024_385	SCZ	-0.1125	0.0414	-2.7187	0.0066
C1024_403	SCZ	0.1603	0.0582	2.7522	0.0059
C1024_530	SCZ	0.1919	0.0661	2.9009	0.0037
C1024_561	SCZ	-0.1218	0.0407	-2.9964	0.0027
C1024_669	SCZ	-0.1138	0.0417	-2.7272	0.0064
C1024_782	SCZ	-0.1157	0.0393	-2.944	0.0032
C1024_816	SCZ	-0.1325	0.04	-3.3159	0.0009
C1024_927	SCZ	-0.1181	0.0416	-2.8355	0.0046
C1024_945	SCZ	-0.1113	0.0406	-2.7424	0.0061
